date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,15329542010822087936511.328161287,1185.348260552326174058,121653251.711499583680661348,7249543.688862056504313397876623711,183662880832738415382.968164967,14.241196417329080286,43385.34138745500296661115667014,108
1650067200,15290387708706692844789.345947857,1187.517638082272981514,121611657.234159235411068098,7287650.381026270672111571554777214,393442383258104596905.022043877,30.57583509488693833,92850.65547550241234813583284705321,217
1649980800,15309346600366249416864.66331915,1184.30010044938887651,121528302.038920143139946308,7193771.661786223580201195250417755,616582960405197894783.374112787,48.801361748334760966,147805.0986268337131934430915478068,138
1649894400,14949837486880172077415.228343644,1210.0991011521961153,121402335.714176793805766612,7309979.745441856061904850361903822,682309769168215675325.204545276,56.950685879456556804,175027.0433261326230445576268541056,137
1649808000,14466294142980287909688.305981757,1246.802865624053835386,121229673.489602679772041247,7779531.620046402227202503615865231,1184200589806372301092.634262074,104.493031166407053064,324403.6316882356485626362013037365,97
1649721600,14406943459850599996276.933862534,1250.709471701275455334,121185865.229146728306210096,7567933.58841112812424465294470025,601241579975249177541.535935303,53.830221515518022971,162310.7166293625318891261285748077,132
1649635200,14021155305559597087647.655842047,1282.101069541789237821,121051866.368271190488310965,7652239.478405123594387599099405068,633874686171691644510.125414109,57.579961037137873953,176811.0808256264170224239816384356,173
1649548800,13972604945551898123541.049427659,1283.465695504089838298,120916756.104790734767042612,8246758.879163578669340060297946486,237458870880735849149.307951229,21.93474809820112188,71766.68982400999382116056535545138,128
1649462400,13907917696652829284426.360997083,1288.385760779698301168,120871277.316535793841278067,8394257.195848624352037313590149175,320951176713782456138.302473465,29.7498269146519238,95729.46644712778261744680872506939,146
1649376000,13813577227602674144647.07169491,1295.124146523160893508,120780276.62776862192829887,8236769.41679038964646622049926794,191657495327691686716.761436408,18.042274673938274565,58747.30928527701329421568140557566,76
1649289600,13754170129100658729452.304826418,1299.662726172073822881,120734287.685572457396451974,8370172.742130396746609198972279835,236788133093337702248.002113574,22.229053448273240286,71060.72590409537987446988454382064,95
1649203200,13865455315711705044143.698500557,1288.160598192139328513,120688518.344709003778316832,8169156.791706459248802624522277167,368778034476632937982.60517325,34.738860263593197548,114319.592550273143219551113593936,113
1649116800,13630077204226995578557.73414973,1308.289179052537494199,120596373.007732391000762105,8923066.626330328544672673007677537,437574777949939975283.073112311,42.086844251899434557,147039.9651742601939363325705341269,104
1649030400,13506629805637186150703.688140862,1318.057621777438933148,120503342.032251587765223328,9299112.05305955552544361439614272,1492893714163460145911.003842888,151.054855697898429627,530807.1747335204618993803083279722,97
1648944000,13064442910148029844928.341679118,1360.067099366370138747,120408611.91872322243951287,9586213.931339077294382172095113925,300498384830121106516.818011187,31.465424307020585746,109445.8303495166149631615586007421,129
1648857600,12917307958066002848361.171047137,1373.237003372814220593,120311702.244995386362247617,9472610.608063808221431944305936343,219960682303784690845.787173599,23.44408601379763318,81602.94950440137019901517415613858,115
1648771200,12858712908971517040360.493182989,1378.288826763468689365,120262789.4565603671766742,9484693.111605324704957022993906762,493266651296228290164.469152766,53.321541901938766701,175443.840298793604124234670259111,146
1648684800,12690108146887909947295.706240125,1394.13787618334165422,120164827.474977745452400572,9136627.104294748990534893581551032,387757249075268606725.746730755,42.403501539230176645,142101.4341152691797703020226809307,188
1648598400,12746551310023761430933.062475121,1385.512721504669339549,120065781.890824491658777267,9380645.806204511781545083488164096,458927926011963959747.342792226,50.385373421470091095,170843.6704924389413358228567443769,188
1648512000,12642394318226492256207.6210253,1394.43921782994843242,119966631.031540298604347766,9470867.717127284466321105879046224,809462380990257081249.49053164,88.703680465039068459,302635.4510173229666291862748529421,270
1648425600,12867472382366467283215.890708372,1365.166557521276645599,119768001.857745688930931146,9113304.791577604105793200466923582,3729757706006158295602.365164775,430.596069017491419549,1425524.083656495029054852812015421,210
1648339200,12944697009545238501458.498443826,1351.374209252093959178,119573400.081334023651545839,8887962.331295220553538861802523839,410037568694394060913.678381041,43.068920797720415523,136082.704012212388583304320426782,125
1648252800,12763346804991255590583.572227143,1368.195409206202054341,119476090.261401037818345592,8599155.760087370399949484456334173,272600432962600497591.33150715,29.187727567856965025,90941.02747026879399599831371073149,144
